,DC_Tilburg,Store_1004,Store_1005,Store_1007,Store_1015,Store_1018,Store_1019,Store_1021,Store_1029,Store_1041,Store_1045,Store_1049,Store_1050,Store_1052,Store_1053,Store_1058,Store_1071,Store_1074,Store_1077,Store_1082,Store_1092,Store_1094,Store_1095,Store_1097,Store_1100,Store_1102,Store_1128,Store_1137,Store_1142,Store_1143,Store_1153,Store_1160,Store_1165,Store_1169,Store_1174,Store_1175,Store_1178,Store_1179,Store_1187,Store_1188,Store_1189,Store_1191,Store_1192,Store_1194,Store_1198,Store_1199,Store_1205,Store_1208,Store_1219,Store_1222
Store_1092,62.501599999999996,70.0363,70.693,70.73530000000001,42.4015,122.3833,148.3751,45.951699999999995,73.2332,72.5878,71.3745,66.9636,39.0899,167.7606,77.4128,163.5315,61.7303,155.899,78.2218,91.6078,0.0,5.1358999999999995,70.8781,65.6555,40.3461,185.76520000000002,44.897,100.6334,38.878,63.217400000000005,162.2167,210.4456,56.4296,170.08960000000002,68.09819999999999,102.5082,43.2796,71.6688,82.6246,71.8329,68.4925,74.18589999999999,80.7158,165.3024,39.975300000000004,123.87469999999999,56.8695,75.6129,37.975300000000004,34.4291
Store_1094,63.785,71.31960000000001,71.97630000000001,72.0187,36.098,116.0799,149.6585,39.648199999999996,74.51660000000001,73.8712,72.6579,68.2469,40.3732,169.0439,78.6961,164.8149,63.0137,157.1824,79.5051,92.89110000000001,5.1481,0.0,72.1614,66.93889999999999,41.6295,187.0485,46.1804,101.91669999999999,40.1614,64.5007,163.5,211.729,49.3568,171.3729,69.3815,96.2047,36.9762,72.95219999999999,76.32119999999999,73.11630000000001,69.7758,75.4692,81.99910000000001,166.58579999999998,41.2586,117.57119999999999,58.1529,76.8963,39.2587,28.125700000000002
Store_1095,6.789,1.4501,20.9069,20.3856,74.5557,94.8986,114.3457,75.2818,26.4666,41.754400000000004,24.608,4.9528,37.6473,133.7312,44.9739,129.5021,19.208599999999997,121.8696,43.603199999999994,57.578300000000006,67.047,68.45710000000001,0.0,8.269200000000001,31.985799999999998,131.857,25.9109,66.604,47.005900000000004,17.8265,128.1873,156.5375,54.4837,136.0601,17.7484,99.0276,73.2228,42.1087,73.1546,42.272800000000004,4.910100000000001,58.719800000000006,54.1075,131.273,34.2337,92.564,16.6355,41.553599999999996,36.2262,46.5946
Store_1097,5.9798,4.502800000000001,23.2174,28.8005,70.13239999999999,90.6991,110.1462,70.8585,28.777099999999997,37.555,26.918400000000002,2.1094,27.2072,129.5317,40.7744,125.3027,21.685200000000002,117.6701,39.403800000000004,53.3789,60.8629,62.273,5.8716,0.0,33.7641,134.1675,21.487599999999997,62.4045,48.7842,20.3032,123.98780000000001,158.84789999999998,50.2843,131.8607,26.1633,94.8281,68.79960000000001,37.9093,68.9551,38.0734,6.6884,54.520300000000006,49.9081,127.0735,29.8105,88.3645,12.212299999999999,37.354099999999995,38.0045,42.1713
Store_1100,24.4924,31.956599999999998,43.4216,43.4639,52.7202,91.1943,110.64139999999999,53.4462,45.961800000000004,34.854099999999995,44.103199999999994,28.9543,4.6304,130.02689999999998,39.6791,125.79780000000001,34.4589,118.1653,40.488099999999996,53.8741,36.9116,38.3218,32.7984,27.6463,0.0,158.4938,6.4365,62.899699999999996,39.3684,35.946,124.483,183.1743,27.1758,132.3559,40.826800000000006,95.3233,51.3873,33.9351,54.197,34.099199999999996,30.4128,44.9321,42.982099999999996,127.56869999999999,12.398200000000001,88.8597,18.8603,37.8792,5.128100000000001,24.759
Store_1102,142.8164,136.4683,118.5689,110.9232,204.2573,196.40820000000002,174.994,204.9834,106.9062,148.3303,117.8809,134.4241,166.9582,198.8206,151.473,187.4864,129.4681,187.6075,149.1269,149.27110000000002,188.0727,189.4829,133.5791,136.4514,161.2966,0.0,155.6125,168.1135,141.4083,128.08610000000002,173.7555,33.5328,174.0128,194.0444,123.43860000000001,200.5372,202.9245,161.6378,174.66420000000002,154.8355,139.298,171.647,155.6171,170.5733,163.9354,194.0735,146.33720000000002,147.5165,165.537,176.2962
Store_1128,19.128400000000003,28.1376,42.877300000000005,48.4433,49.9137,85.8885,105.3356,50.6397,48.437,29.548299999999998,46.5784,23.5903,6.0163,124.721,34.3732,120.492,39.4384,112.8594,35.182199999999995,48.5682,40.6441,42.054199999999994,25.4612,22.2823,6.3531,153.82739999999998,0.0,57.5938,50.8669,40.9254,119.17710000000001,178.5079,23.1658,127.05,45.8062,90.0175,48.5808,28.6293,50.187,28.7933,21.6398,40.9221,37.676199999999994,122.26289999999999,9.591700000000001,83.55380000000001,13.4963,32.573299999999996,7.5956,21.9525
Store_1137,59.8294,66.1143,80.854,86.4371,71.52860000000001,38.187400000000004,57.6345,67.7508,86.41369999999999,25.2538,84.555,61.5605,63.4852,77.02,23.1646,72.791,82.408,65.1584,22.2265,21.128,97.3751,98.7853,67.48310000000001,60.2525,63.5552,166.2045,58.0529,0.0,107.5979,81.0259,71.4761,190.885,35.1978,79.349,83.7999,42.984199999999994,66.04660000000001,32.1721,17.1466,29.0834,62.3408,14.9625,18.6212,74.5618,66.3227,35.8528,57.3627,25.103900000000003,65.0644,61.1395
Store_1142,47.8979,46.6758,36.4883,36.530699999999996,71.8176,133.9838,153.4309,75.3678,39.0286,77.6436,37.1699,48.533,44.1456,172.81629999999998,82.4685,168.5873,27.5257,160.95479999999998,83.2775,96.6635,38.2629,39.6731,47.5176,48.9501,40.1951,151.5605,49.9528,105.68910000000001,0.0,29.012700000000002,167.2724,176.241,61.4853,175.1453,33.8935,131.9243,72.6958,76.72460000000001,88.5066,76.88860000000001,45.132,79.2416,85.7715,170.3582,45.031,131.6491,53.2455,80.66860000000001,43.031099999999995,57.3918
Store_1143,25.177400000000002,18.9779,9.7516,9.794,86.52680000000001,108.6228,128.0699,87.2529,12.2919,55.4786,10.433200000000001,19.443099999999998,41.318599999999996,147.4554,58.698,143.22629999999998,2.2611999999999997,135.5938,57.327400000000004,71.3025,62.433099999999996,63.843300000000006,17.751900000000003,22.2055,35.657,124.8239,40.658199999999994,80.3282,28.4228,0.0,141.9115,149.5043,62.6592,149.7843,7.156899999999999,112.7518,85.1939,55.8329,86.8788,55.997,22.4115,72.444,67.8317,144.99720000000002,46.204800000000006,106.2882,34.064099999999996,55.277800000000006,39.897400000000005,58.565599999999996
